
         15500315 function calls (15378581 primitive calls) in 64.717 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      142    0.001    0.000    0.001    0.000 enum.py:301(__setattr__)
      233    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
      696    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
      657    0.001    0.000    0.003    0.000 __init__.py:2142(_normalize_cached)
       62    0.001    0.000    0.003    0.000 __init__.py:1579(_get)
       20    0.001    0.000    0.111    0.006 __init__.py:663(add_entry)
      160    0.001    0.000    0.002    0.000 genericpath.py:39(isdir)
       20    0.001    0.000    0.002    0.000 macros.py:405(SymmetricMapping)
        1    0.001    0.001    0.002    0.002 six.py:1(<module>)
       26    0.001    0.000    0.004    0.000 abc.py:132(__new__)
       77    0.001    0.000    0.001    0.000 utils.py:45(parse_cstring_from_stream)
      605    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
       49    0.001    0.000    0.001    0.000 sre_parse.py:260(getuntil)
      183    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      146    0.001    0.000    0.002    0.000 posixpath.py:115(splitext)
      148    0.001    0.000    0.002    0.000 re.py:175(sub)
      556    0.001    0.000    0.001    0.000 _structures.py:33(__neg__)
      250    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(__init__)
      214    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
      174    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
    227/6    0.001    0.000    0.661    0.110 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      184    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:170(__exit__)
       73    0.001    0.000    0.001    0.000 posixpath.py:145(dirname)
      113    0.001    0.000    0.002    0.000 core.py:334(__init__)
      202    0.001    0.000    0.001    0.000 core.py:93(__init__)
    77/71    0.001    0.000    0.007    0.000 elffile.py:477(_make_section)
        1    0.001    0.001    0.003    0.003 x86.py:3(<module>)
      169    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
      257    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       81    0.001    0.000    0.081    0.001 sre_compile.py:516(_code)
       26    0.001    0.000    0.001    0.000 abc.py:135(<setcomp>)
      148    0.001    0.000    0.001    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      452    0.001    0.000    0.001    0.000 macros.py:414(<genexpr>)
       23    0.001    0.000    0.001    0.000 functools.py:43(update_wrapper)
      459    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      379    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
       71    0.001    0.000    0.009    0.000 __init__.py:2506(activate)
       50    0.001    0.000    0.001    0.000 pyparsing.py:2652(__init__)
       87    0.001    0.000    0.001    0.000 enum.py:8(_is_descriptor)
      121    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       51    0.001    0.000    0.004    0.000 pyparsing.py:2385(__init__)
      154    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
      154    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
      174    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(parent)
       77    0.001    0.000    0.002    0.000 sections.py:135(get_string)
       43    0.001    0.000    0.001    0.000 sre_compile.py:376(<listcomp>)
       59    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1086(_legacy_get_spec)
      161    0.001    0.000    0.001    0.000 elffile.py:408(__getitem__)
      349    0.001    0.000    0.001    0.000 sre_parse.py:161(__setitem__)
       97    0.001    0.000    0.001    0.000 hex.py:6(<genexpr>)
       62    0.001    0.000    0.005    0.000 __init__.py:1471(get_metadata)
      309    0.001    0.000    0.001    0.000 {built-in method from_bytes}
       99    0.001    0.000    0.009    0.000 __init__.py:1462(has_metadata)
      369    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      146    0.001    0.000    0.003    0.000 __init__.py:1373(safe_name)
      159    0.001    0.000    0.001    0.000 __init__.py:419(<genexpr>)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
       78    0.000    0.000    0.001    0.000 elffile.py:439(_section_offset)
       79    0.000    0.000    0.021    0.000 core.py:182(parse_stream)
      107    0.000    0.000    0.007    0.000 pyparsing.py:828(copy)
      133    0.000    0.000    0.002    0.000 genericpath.py:16(exists)
      352    0.000    0.000    0.000    0.000 version.py:352(<lambda>)
        1    0.000    0.000    0.002    0.002 ppc.py:3(<module>)
       90    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       72    0.000    0.000    0.006    0.000 __init__.py:1872(get_metadata_lines)
        2    0.000    0.000    0.001    0.000 enums.py:9(<module>)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:789(find_spec)
      159    0.000    0.000    0.001    0.000 __init__.py:421(<genexpr>)
      162    0.000    0.000    0.001    0.000 sre_compile.py:513(isstring)
       73    0.000    0.000    0.001    0.000 signal.py:10(<lambda>)
       81    0.000    0.000    0.001    0.000 sre_parse.py:217(__init__)
       71    0.000    0.000    0.001    0.000 __init__.py:2102(fixup_namespace_packages)
       55    0.000    0.000    0.001    0.000 pyparsing.py:1605(__init__)
      134    0.000    0.000    0.008    0.000 sre_parse.py:90(closegroup)
       77    0.000    0.000    0.003    0.000 elffile.py:470(_get_section_name)
       43    0.000    0.000    0.001    0.000 sre_compile.py:374(_mk_bitmap)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       86    0.000    0.000    0.002    0.000 core.py:275(_parse)
    47/32    0.000    0.000    0.324    0.010 {built-in method builtins.__import__}
       27    0.000    0.000    0.001    0.000 core.py:123(_inherit_flags)
        1    0.000    0.000    0.001    0.001 callframe.py:9(<module>)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
      313    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:34(_relax_case)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
      142    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      107    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
        9    0.000    0.000    0.001    0.000 datetime.py:338(__new__)
        1    0.000    0.000    0.002    0.002 arm.py:3(<module>)
