         13509479 function calls (13505344 primitive calls) in 67.098 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
      134    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
      318    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      106    0.001    0.000    0.010    0.000 __init__.py:1462(has_metadata)
      203    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
      141    0.001    0.000    0.002    0.000 genericpath.py:16(exists)
      588    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
       29    0.001    0.000    0.006    0.000 argparse.py:1308(add_argument)
        4    0.001    0.000    0.001    0.000 ssl.py:115(_import_symbols)
      389    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      566    0.001    0.000    0.001    0.000 _structures.py:33(__neg__)
      185    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
      559    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.001    0.001    0.001    0.001 __init__.py:359(_cs_insn)
      220    0.001    0.000    0.001    0.000 sre_compile.py:513(isstring)
      275    0.001    0.000    0.001    0.000 {built-in method from_bytes}
       20    0.001    0.000    0.003    0.000 abc.py:132(__new__)
      153    0.001    0.000    0.001    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      225    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(__init__)
    197/1    0.001    0.000    0.695    0.695 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
       19    0.001    0.000    0.003    0.000 ipaddress.py:1459(__init__)
       45    0.001    0.000    0.001    0.000 sre_compile.py:376(<listcomp>)
        1    0.001    0.001    0.001    0.001 options.py:15(__init__)
       68    0.001    0.000    0.011    0.000 __init__.py:1471(get_metadata)
       83    0.001    0.000    0.001    0.000 six.py:141(__init__)
      146    0.001    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
      162    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:170(__exit__)
        1    0.001    0.001    0.002    0.002 x86.py:3(<module>)
      451    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      360    0.001    0.000    0.001    0.000 sre_parse.py:161(__setitem__)
      191    0.001    0.000    0.001    0.000 enum.py:16(_is_dunder)
       51    0.001    0.000    0.003    0.000 pyparsing.py:2385(__init__)
       63    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
       50    0.001    0.000    0.001    0.000 pyparsing.py:2652(__init__)
